episode, reward, epsilon, hasWon
0, -34.00, 1.00, false
1, -32.00, 0.97, false
2, -28.00, 0.93, false
3, -29.00, 0.90, false
4, -30.00, 0.87, false
5, -28.00, 0.83, false
6, -29.00, 0.80, false
7, -28.00, 0.77, false
8, -28.00, 0.74, false
9, -32.00, 0.70, false
10, -28.00, 0.67, false
11, -30.00, 0.64, false
12, -32.00, 0.60, false
13, -29.00, 0.57, false
14, -30.00, 0.54, false
15, -29.00, 0.50, false
16, -27.00, 0.47, false
17, -32.00, 0.44, false
18, -30.00, 0.41, false
19, -33.00, 0.37, false
20, 23.00, 0.34, true
21, -31.00, 0.31, false
22, -44.00, 0.27, false
23, -30.00, 0.24, false
24, -36.00, 0.21, false
25, 24.00, 0.17, true
26, -27.00, 0.14, false
27, 23.00, 0.11, true
28, 24.00, 0.08, true
29, 23.00, 0.04, true
